name,category
"ZOTAC GeForce GT 730 Zone Edition 4GB DDR3 PCI Express 2.0 x16 (x8 lanes) Graphics Card (ZT-71115-20L)", "graphic cards"
"MSI Gaming Radeon RX 570 256-bit 8GB GDRR5 DirectX 12 VR Ready CFX Graphcis Card (RX 570 ARMOR 8G OC)", "graphic cards"
"MSI GAMING GeForce RTX 2060 6GB GDRR6 192-bit HDMI/DP Ray Tracing Turing Architecture VR Ready Graphics Card (RTX 2060 VENTUS 6G OC)", "graphic cards"
"ASUS ROG STRIX GeForce RTX 2080TI Overclocked 11G GDDR6 HDMI DP 1.4 USB Type-C Gaming Graphics Card (ROG-STRIX-RTX-2080TI-O11G)", "graphic cards"
"XFX Radeon RX 580 GTS XXX Edition 1386MHz OC+, 8GB GDDR5, VR Ready, Dual BIOS, 3xDP HDMI DVI, AMD Graphics Card (RX-580P8DFD6)", "graphic cards"
"Gigabyte GeForce GTX 1660 OC 6G Graphics Card, 2X Windforce Fans, 6GB 192-bit GDDR5, Gv-N1660OC-6GD Video Card", "graphic cards"
"MSI Computer Video Graphic Cards GeForce GTX 1050 TI Gaming X 4G", "graphic cards"
"XFX Radeon RX 580 GTS XXX Edition 1386MHz OC+, 8GB GDDR5, VR Ready, Dual BIOS, 3xDP HDMI DVI, AMD Graphics Card (RX-580P8DFD6)", "graphic cards"
"MSI Gaming GeForce GT 710 2GB GDRR3 64-bit HDCP Support DirectX 12 OpenGL 4.5 Single Fan Low Profile Graphics Card (GT 710 2GD3 LP)", "graphic cards"
"Gigabyte Geforce GTX 1050 Ti OC 4GB GDDzotacR5 128 Bit PCI-E Graphic Card (GV-N105TOC-4GD)", "graphic cards"
"Gigabyte GeForce GTX 1660 OC 6G Graphics Card, 2X Windforce Fans, 6GB 192-bit GDDR5, Gv-N1660OC-6GD Video Card", "graphic cards"
"EVGA GeForce RTX 2080 XC ULTRA GAMING, 8GB GDDR6, Dual HDB Fans & RGB LED Graphics Card 08G-P4-2183-KR", "graphic cards"
"XFX Radeon RX 580 GTS XXX Edition 1386MHz OC+, 8GB GDDR5, VR Ready, Dual BIOS, 3xDP HDMI DVI, AMD Graphics Card (RX-580P8DFD6)", "graphic cards"
"EVGA GeForce RTX 2070 XC Gaming, 8GB GDDR6, Dual HDB Fans & RGB LED Graphics Card 08G-P4-2172-KR, Real Boost Clock: 1710 MHz", "graphic cards"
"Gigabyte GeForce GTX 1660 OC 6G Graphics Card, 2X Windforce Fans, 6GB 192-bit GDDR5, Gv-N1660OC-6GD Video Card", "graphic cards"
"BESTOPE Makeup Brushes 16 PCs Makeup Brush Set Premium Synthetic Foundation Brush Blending Face Powder Blush Concealers Eye Shadows Make Up Brushes Kit (Rose Golden)", "make up"
"Beauty Glazed 63 Colors Eyeshadow Professional Makeup 63 Colors EyeShadow Palette Powder With Profession Makeup Brushes Set and Powder Blender Gorgeous Me Cosmetics Perfect Color Eye Shadow Tray Set", "make up"
"SHANY All In One Harmony Makeup Kit - Ultimate Color Combination - New Edition", "make up"
"Neutrogena Makeup Remover Cleansing Towelettes, Daily Cleansing Face Wipes to Remove Waterproof Makeup and Mascara, Alcohol-Free, Value Twin Pack, 25 count, 2 Pack", "make up"
"Best Pro Eyeshadow Palette Makeup - Matte Shimmer 16 Colors - Highly Pigmented - Professional Nudes Warm Natural Bronze Neutral Smoky Cosmetic Eye Shadows", "make up"
"BEAKEY 5 Pcs Makeup Sponge Set Blender Beauty Foundation Blending Sponge, Flawless for Liquid, Cream, and Powder, Multi-colored Makeup Sponges", "make up"
"6pcs Matte Velvety Liquid Lipstick Matte Liquid Lipgloss Waterproof Lip Gloss", "make up"
"Funfunman Makeup Brushes 11PCS Make Up Foundation Eyebrow Eyeliner Blush Cosmetic Concealer Brushes(Mermaid Colorful)", "make up"
"Neutrogena Makeup Remover Cleansing Towelette Singles, Daily Face Wipes To Remove Dirt, Oil, Makeup & Waterproof Mascara, Individually Wrapped, 20 Count", "make up"
"Avashine Color Changing Foundation, All-Day Flawless Foundation Makeup, Foundation Cream, Liquid Foundation,30ml, SPF 15, Lightweight,Fragrance-Free, Warm Skin Tone", "make up"
"Coty Airspun Loose Face Powder 2.3 oz. Translucent Tone Loose Face Powder, for Setting Makeup or as Foundation, Lightweight, Long Lasting", "make up"
"deweisn Tri-Fold Lighted Vanity Makeup Mirror with 21 LED Lights,3X/2X Magnification Mirror,Touch Sensor Switch, Two Power Supply Mode Tabletop Makeup Mirror,Travel Cosmetic Mirror (Rose Gold)", "make up"
"BS-MALL Makeup Brushes Premium Synthetic Foundation Powder Concealers Eye Shadows Makeup 14 Pcs Brush Set, Rose Golden, 1 Count", "make up"
"Eyeliner Stamp, Black, Waterproof, Smudge Proof, Winged Long Lasting Liquid Eye Liner Pen, Vamp Style Wing, 2 Pens in a Pack - 10 mm - Special formula 100% Vegan, and 100% FREE from any parabens", "make up"
"Relavel Travel Makeup Train Case Makeup Cosmetic Case Organizer Portable Artist Storage Bag with Adjustable Dividers for Cosmetics Makeup Brushes Toiletry Jewelry Digital Accessories Black", "make up"